client_id,gender,birth_date,client_district_id,disp_id,account_id,disp_type,acc_district_id,stmt_freq,account_date,loan_id,loan_date,loan_amount,loan_duration,loan_payments,loan_status,card_id,card_type,card_issued_date,avg_balance,abs_balance,avg_dtCCwdl,avg_dtCashwdl,avg_dtObRemit,avg_dtOther,avg_crCash,avg_crObColl,avg_crOther,avg_dtIns,avg_dtStmtBal,avg_dtIntNegBal,avg_dtHousehold,avg_dtLoan,avg_dtOtherPay,avg_crInterest,avg_crPension,avg_crOtherPay,district_id,district_name,region,num_inhab,mun_inhab500,mun_inhab1000,mun_inhab10000,mun_inhab10001,num_cities,urban_ratio,avg_sal,unemploy95,unemploy96,entPer1000,crimes95,crimes96,num_operators
116,m,1942-01-28,74,116,97,OWNER,74,Monthly,1996-05-05,4986,1997-08-10,102876,12,8573.0,A,16.0,classic,1998-06-23,343.358475,40516.3,0.0,1902.208475,348.127119,0.0,2574.677966,0.0,19.016102,0.279661,1.361017,0.0,121.694915,0.0,2127.0,19.016102,0.0,2574.677966,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,2
127,f,1950-12-27,21,127,105,OWNER,21,Monthly,1997-07-10,4989,1998-12-05,352704,48,7348.0,C,17.0,classic,1998-06-07,538.846429,30175.4,0.0,4021.807143,0.0,0.0,4514.875,0.0,45.778571,0.0,1.825,0.0,0.0,0.0,4019.982143,45.778571,0.0,4514.875,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,1
132,m,1953-01-26,36,132,110,OWNER,36,Monthly,1996-07-17,4990,1997-09-08,162576,36,4516.0,C,21.0,classic,1998-02-26,661.188095,55539.8,0.0,2953.707143,336.119048,0.0,3923.0,0.0,28.014286,0.0,1.564286,0.0,326.785714,0.0,2961.47619,28.014286,0.0,3923.0,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,1
158,f,1945-07-03,40,158,132,OWNER,40,PostTransaction,1996-05-11,4996,1996-11-06,88440,12,7370.0,A,25.0,classic,1997-12-06,2545.412903,78907.8,0.0,6152.677419,0.0,0.0,8649.193548,0.0,48.896774,0.0,12.903226,0.0,0.0,0.0,6139.774194,48.896774,0.0,8649.193548,40,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,2
272,f,1944-10-25,70,272,226,OWNER,70,Monthly,1997-02-23,5015,1998-07-12,109344,12,9112.0,C,45.0,classic,1997-12-05,716.745161,66657.3,31.182796,2113.28172,1248.0,0.0,4078.387097,0.0,30.822581,0.0,1.883871,0.0,1248.0,0.0,2142.580645,30.822581,0.0,4078.387097,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,1
333,m,1971-10-19,38,333,276,OWNER,38,Monthly,1997-12-08,5027,1998-12-02,160920,36,4470.0,C,53.0,classic,1998-10-13,819.067797,48325.0,0.0,4532.369492,618.372881,0.0,11.864407,5910.135593,47.810169,0.0,1.979661,0.0,618.372881,0.0,4530.389831,47.810169,0.0,5922.0,38,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,1
370,f,1956-01-05,71,370,303,OWNER,71,Monthly,1996-07-25,5034,1998-05-30,112752,36,3132.0,C,60.0,classic,1998-10-18,379.2,48916.8,0.0,2072.466667,530.651163,0.0,2954.410853,0.0,27.906977,0.0,1.924031,0.0,530.651163,0.0,2070.542636,27.906977,0.0,2954.410853,71,Novy Jicin,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,1
414,f,1947-10-19,46,414,339,OWNER,46,Weekly,1996-09-11,5043,1997-12-25,468060,60,7801.0,C,65.0,classic,1998-02-02,850.308036,95234.5,0.0,6097.535714,406.116071,0.0,3.571429,7313.580357,36.808036,0.0,2.946429,0.0,401.401786,0.0,6099.303571,36.808036,0.0,7317.151786,46,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,2
655,m,1942-12-10,32,655,544,OWNER,32,Monthly,1995-05-15,5088,1996-08-22,91152,24,3798.0,A,119.0,classic,1996-08-08,511.411688,39378.7,23.376623,4447.38961,0.0,0.0,66.233766,4883.376623,32.567532,0.0,1.896104,0.0,0.0,0.0,4468.87013,32.567532,0.0,4949.61039,32,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340,4505,1
798,f,1940-02-12,27,798,666,OWNER,27,Monthly,1996-03-15,5103,1997-11-28,12540,12,1045.0,A,140.0,classic,1997-08-22,358.961842,54562.2,44.736842,1169.467105,707.861842,0.0,2258.861842,0.0,22.165789,94.243421,1.440789,0.0,388.421053,0.0,1437.960526,22.165789,0.0,2258.861842,27,Plzen - jih,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,2
